,category,company
908,minus_ten,JNS
909,minus_five_ten,JAZZ
910,minus_ten,JBLU
911,plus_five,JBT
912,plus_five,JNJ
913,minus_five_ten,JCI
914,plus_five,JLL
915,minus_five_ten,JOY
916,minus_five,JNPR
917,minus_ten,JUNO
918,plus_five,KALU
919,plus_five,KAMN
920,minus_ten,KSU
921,plus_five,KS
922,plus_five,KAR
923,minus_five,KATE
924,plus_five,KBH
925,minus_ten,KBR
926,plus_five,KCG
927,plus_five,KRNY
928,plus_five,K
929,plus_five_ten,KMPR
930,plus_five,KMT
931,minus_five_ten,KW
932,plus_five,KEY
933,plus_five,KEYS
934,plus_five,KRC
935,plus_five,KMB
936,plus_five,KIM
937,minus_ten,KMI
938,minus_ten,KEX
939,plus_ten,KITE
940,minus_five,KRG
941,plus_five_ten,KKR
942,plus_five,KLAC
943,minus_five_ten,KLXI
944,minus_five,KNX
945,minus_ten,KNL
946,plus_five,KN
947,plus_five,KSS
948,minus_ten,KFY
949,minus_ten,KOS
950,minus_five,KHC
951,plus_five_ten,KR
952,minus_ten,KRO
953,minus_five,KLIC
954,minus_five,LB
955,plus_five_ten,LLL
956,plus_five,LZB
957,minus_five,LH
958,plus_five,LADR
959,plus_five,LRCX
960,minus_five,LAMR
961,plus_five,LANC
962,minus_five,LSTR
963,minus_five,LPI
964,minus_five,LVS
965,plus_five,LHO
966,plus_five_ten,LAZ
967,minus_five,LEA
968,plus_five_ten,LM
969,minus_five_ten,LEG
970,minus_five,LDOS
971,plus_five,LC
972,minus_ten,TREE
973,minus_five_ten,LEN
974,minus_five_ten,LII
975,minus_five,LUK
976,minus_five,LVLT
977,plus_five,LXRX
978,plus_five,LXP
979,plus_five,LBRDA
980,minus_five,QVCA
981,minus_five,LPT
982,minus_five,LTRPA
983,minus_five,LSI
984,minus_five_ten,LOCK
985,plus_five,LPNT
986,minus_five,LGND
987,minus_five_ten,LECO
988,minus_five,LNC
989,minus_five_ten,LLTC
990,plus_five,LNKD
991,minus_five,LGF
992,minus_ten,LAD
993,minus_five,LFUS
994,minus_five,LYV
995,plus_five_ten,LKQ
996,plus_five_ten,LMT
997,plus_five,L
998,minus_five,LOGI
999,minus_five_ten,LOGM
1000,minus_five,LPX
1001,plus_five,LOW
1002,minus_five_ten,LPLA
1003,plus_five,LTC
1004,plus_ten,LULU
1005,minus_five,LITE
1006,plus_five_ten,LYB
1007,minus_five,MTB
1008,plus_five,MAC
1009,plus_ten,CLI
1010,plus_ten,MTSI
1011,minus_five_ten,MIC
1012,plus_five,M
1013,plus_five,MSG
1014,plus_five,MGLN
1015,plus_five,MMP
1016,minus_five,MHLD
1017,plus_five,MNK
1018,plus_five_ten,MANH
1019,minus_five_ten,MFS
1020,minus_five,MAN
1021,plus_five,MANT
1022,minus_five_ten,MRO
1023,minus_ten,MPC
1024,minus_five,MKL
1025,plus_five,MKTX
1026,minus_five_ten,MAR
1027,minus_five_ten,VAC
1028,minus_five_ten,MMC
1029,minus_five,MLM
1030,plus_five_ten,MRVL
1031,minus_five_ten,MAS
1032,plus_five,MASI
1033,minus_five_ten,DOOR
1034,plus_five,MTZ
1035,minus_five,MA
1036,minus_ten,MTDR
1037,plus_five,MATX
1038,plus_five,MAT
1039,minus_ten,MATW
1040,plus_five,MXIM
1041,plus_five_ten,MMS
1042,plus_five,MXL
1043,minus_five_ten,MBFI
1044,minus_five,MBI
1045,plus_five,MKC
1046,minus_ten,MDR
1047,plus_five,MCD
1048,plus_five,MCK
1049,plus_ten,MDC
1050,plus_five,MDU
1051,minus_five,MJN
1052,plus_five,MEG
1053,minus_five,MPW
1054,minus_five,MDCO
1055,plus_five_ten,MDSO
1056,plus_five,MD
1057,plus_five,MEDP
1058,plus_five,MDT
1059,plus_five_ten,MLNX
1060,plus_five,MENT
1061,plus_five,MELI
1062,plus_ten,MRK
1063,plus_five,MCY
1064,plus_five,MRCY
1065,plus_five,MDP
1066,plus_ten,MMSI
1067,plus_ten,MTH
1068,minus_ten,MTOR
1069,minus_five_ten,MPG
1070,minus_ten,MEI
1071,minus_five,MET
1072,plus_five,MTD
1073,minus_five,MFA
1074,plus_five,MGEE
1075,minus_five,MTG
1076,plus_five,MGP
1077,plus_five,MGM
1078,minus_five,KORS
1079,minus_five,MIK
1080,minus_five,MCHP
1081,plus_five,MU
1082,minus_ten,MSCC
1083,plus_five,MSFT
1084,plus_five,MSTR
1085,plus_five,MAA
1086,plus_five,MIDD
1087,minus_ten,MCRN
1088,plus_five,MTX
1089,plus_five,MITSY
1090,minus_five,MKSI
1091,minus_ten,MINI
1092,plus_five,MC
1093,minus_five,MHK
1094,minus_five,MOH
1095,plus_five,TAP
1096,plus_five,MDLZ
1097,minus_ten,MORE
1098,minus_five_ten,MPWR
1099,plus_ten,MNRO
1100,plus_five,MON
1101,minus_five_ten,MNST
1102,plus_five,MCO
1103,minus_five_ten,MS
1104,minus_five,MORN
1105,plus_five,MOS
1106,minus_five,MSI
1107,plus_five,MPLX
1108,minus_five,MRC
1109,minus_five_ten,MSA
1110,plus_five,MSM
1111,plus_five,MSCI
1112,plus_five,MSGN
1113,plus_five,MLI
1114,minus_five_ten,MWA
1115,plus_five_ten,LABL
1116,minus_five,MUR
1117,minus_five,MUSA
1118,plus_ten,MYL
1119,plus_five,MYGN
1120,minus_ten,NBR
1121,plus_five,NH
1122,plus_five,NDAQ
1123,plus_five,NABZY
1124,minus_ten,FIZZ
1125,minus_five_ten,NFG
1126,plus_five,NGHC
1127,plus_five_ten,NHI
1128,minus_five_ten,NATI
1129,minus_five_ten,NOV
1130,plus_five,NNN
1131,plus_five,NSM
1132,minus_five,BABY
1133,plus_five,NAVI
1134,minus_five,NCI
1135,minus_five,NAVG
1136,minus_five,NAV
1137,plus_five_ten,NBTB
1138,plus_five,NCS
1139,minus_ten,NCR
1140,plus_five,NP
1141,plus_five_ten,NKTR
1142,minus_five,NNI
1143,minus_five,NEOG
1144,minus_five,NTAP
1145,plus_five,NFLX
1146,plus_five,NTGR
1147,minus_five_ten,NTCT
1148,minus_five,NBIX
1149,plus_five,NSR
1150,plus_ten,NVRO
1151,plus_ten,NJR
1152,plus_ten,NEWR
1153,plus_five,NRZ
